Título,Descripción,Categoría,Latitud,Longitud,Fecha del hecho
Caída del helicóptero de Carlos Menem Jr,Presunto choque con cables de alta tensión según la versión oficial. Murieron Menem Jr y el piloto Silvio Oltra.,MenemJr,-33.398,-60.033,3/15/1995
Carta del espía Aguilar Risi,Advertencia escrita al ministro Corach sobre un atentado en marcha contra Menem Jr vinculado a AMIA.,MenemJr,-34.603,-58.381,2/10/1995
Llamadas silenciosas al Mobicom,"Menem Jr recibía llamadas donde nadie hablaba, aumentando su sospecha de vigilancia.",MenemJr,-34.603,-58.381,3/1/1995
Reducción de la custodia,El jefe de seguridad ordenó disminuir el número de custodios justo el día del siniestro.,MenemJr,-34.6,-58.4,3/15/1995
Detención sospechosa de escoltas,Los autos de custodia se detuvieron 20 km antes por un supuesto cambio de llanta.,MenemJr,-33.9,-60.1,3/15/1995
Declaración de Lorenzo Siri,Aseguró haber visto tres explosiones y billetes esparcidos tras la caída.,MenemJr,-33.4,-60.03,3/15/1995
Muerte de Lorenzo Siri,"Atropellado por un Fiat 147 semanas después, cerca del sitio del accidente.",MenemJr,-33.401,-60.031,4/18/1995
Asesinato de Miguel Lukou,Perito que aseguró que no fue un accidente. Baleado frente a su casa.,MenemJr,-34.66,-58.48,3/25/1995
Muerte de Ángel Antacle,"Presunto asesino de Lukou, muerto a balazos dos días después.",MenemJr,-34.661,-58.47,3/27/1995
Muerte del perito Félix Bonacheira,Ayudante de Lukou; falleció en circunstancias sospechosas meses después.,MenemJr,-34.62,-58.46,6/10/1995
Asesinato de Hector Vasino,Comisario que revisó el helicóptero. Murió en un falso intento de robo,MenemJr,-34.6,-58.42,6/10/1997
Muerte de Hugo Sánchez Trota,Preso que decía tener información del dinero en el helicóptero. Abatido por policía.,MenemJr,-34.59,-58.43,5/12/1995
Muerte del hermano de Trota,Declaró vínculos con narcotráfico. Asesinado poco después.,MenemJr,-34.58,-58.42,5/20/1995
Muerte de Hugo  Bocolino,Testigo camionero hallado muerto con un tiro en la cara; declarado suicidio,MenemJr,-33.95,-60.6,3/15/1995
Amenazas a José Luis Manchini,Perito que vio perforaciones de bala en la aeronave; recibió amenazas.,MenemJr,-34.6,-58.5,8/10/1997
Asesinato del hermano de Manchini,Acribillado días después de las denuncias del perito.,MenemJr,-34.602,-58.503,8/21/1997
Muerte del médico Pedro Martínez,Primer profesional en asistir a Menem Jr; muerto por apuñalamiento.,MenemJr,-34.62,-58.45,7/1/1995
Muerte de Rodolfo Cortés,Decía tener grabaciones de los gritos antes del impacto. Murió repentinamente.,MenemJr,-34.63,-58.44,1/15/1996
Desaparición del Rolex,El reloj de Menem Jr desapareció y reapareció años más tarde sin explicación.,MenemJr,-34.603,-58.381,3/15/1995
Valija desaparecida,Habría un maletín con USD 30.000 que nunca volvió a aparecer.,MenemJr,-33.398,-60.033,3/15/1995
Pérdida de partes del helicóptero,La aeronave fue entregada rápidamente a la aseguradora y desaparecieron piezas clave.,MenemJr,-33.398,-60.033,3/16/1995
Pericia incompleta,Solo se examinó un fragmento del helicóptero en vez de toda la estructura.,MenemJr,-33.398,-60.033,3/20/1995
Autopsia tardía,La autopsia al cuerpo de Menem Jr se realizó con irregularidades y demoras.,MenemJr,-34.603,-58.381,3/16/1995
Dudas sobre identidad del cuerpo,La madre llegó a desconfiar que el cuerpo fuera realmente el de su hijo.,MenemJr,-34.603,-58.381,3/17/1995
Reapertura del caso 2010,La causa archivada en 1998 fue reabierta por nuevas inconsistencias.,MenemJr,-34.603,-58.381,4/10/2010
Declaración pública de Menem (2016),El expresidente afirmó en TV que a su hijo lo mataron en un atentado.,MenemJr,-34.603,-58.381,5/20/2016
Teoría de represalia siria,Se sugiere ajuste de cuentas por un reactor nuclear prometido a Siria y no entregado.,MenemJr,-34.603,-58.381,5/12/1988
Declaraciones de Domingo Cavallo,Cavallo relacionó el atentado con Yabrán y Siria.,MenemJr,-34.603,-58.381,4/1/2017
Sospecha sobre Yabrán,Se menciona al empresario como figura vinculada a operaciones encubiertas.,MenemJr,-34.603,-58.381,4/1/1995
Robo del helicóptero previo,Testigos afirmaron haber visto un vehículo desconocido en la zona horas previas a la caída.,MenemJr,-33.405,-60.02,3/15/1995
Impactos en la chapa,Fotografías mostraban perforaciones que podrían ser balazos.,MenemJr,-33.398,-60.033,3/15/1995
Análisis balístico rechazado,El juez Villafuerte Russo desestimó informes sobre posibles disparos.,MenemJr,-34.603,-58.381,1/2/1997
Actuación brusca de ambulancia,"Los paramédicos manipularon el cuerpo con violencia, según testigos.",MenemJr,-33.398,-60.033,3/15/1995
Helicóptero volando bajo,Al menos 55 testigos afirmaron ver la aeronave a muy poca altura.,MenemJr,-33.398,-60.033,3/15/1995
Interferencia en radio del piloto,"Silvio Oltra habría reportado problemas antes del impacto, no registrados oficialmente.",MenemJr,-34.6,-58.4,3/15/1995
Supuesto tercer ocupante,"Rumores indicaban que una mujer viajaba a bordo, aunque nunca se probó.",MenemJr,-33.398,-60.033,3/15/1995
Desaparición de documentación,Sobres y papeles hallados en el lugar desaparecieron antes del peritaje.,MenemJr,-33.398,-60.033,3/15/1995
Falla eléctrica no comprobada,Nunca se probó oficialmente que se cortaran cables de alta tensión.,MenemJr,-33.398,-60.033,3/15/1995
Alteración del área del siniestro,La zona fue intervenida antes de la llegada de algunos peritos.,MenemJr,-33.398,-60.033,3/15/1995
Contradicciones entre testigos,Varios testimonios fueron modificados o retirados posteriormente.,MenemJr,-34.6,-58.4,4/1/1995
Desaparición de evidencia fotográfica,Algunas fotos originales del lugar se extraviaron del expediente.,MenemJr,-34.603,-58.381,2/12/1996
Amenaza a periodistas,Reporteros que cubrían el caso denunciaron presiones y advertencias.,MenemJr,-34.603,-58.381,5/30/1995
Custodios incomunicados,Los agentes que lo escoltaban no declararon públicamente durante meses.,MenemJr,-34.603,-58.381,3/20/1995
Vehículo sospechoso en la ruta 9,Testigos vieron un auto siguiéndolo antes del despegue.,MenemJr,-33.9,-60.1,3/15/1995
Primer sobrevuelo extraño,Pobladores afirmaron haber oído un estruendo antes de la explosión final.,MenemJr,-33.398,-60.033,3/15/1995
Reaparición inexplicable del Rolex,El reloj reapareció años más tarde sin registro de recuperación.,MenemJr,-34.603,-58.381,6/1/2000
Dudosa actuación judicial,El juez Villafuerte Russo fue acusado de desestimar pruebas clave.,MenemJr,-34.603,-58.381,3/11/1998
Hallazgo de restos metálicos ajenos,Peritos independientes afirmaron hallar fragmentos no pertenecientes al helicóptero.,MenemJr,-33.398,-60.033,3/16/1995
Contradicción en tiempo de muerte,Informes médicos no coincidieron en el horario exacto del fallecimiento.,MenemJr,-34.603,-58.381,3/15/1995
Supuesto mensaje mafioso,Se interpretó el hecho como advertencia a Menem por acuerdos no cumplidos.,MenemJr,-34.603,-58.381,3/15/1995
