Título,Descripción,Categoría,Latitud,Longitud,Fecha del hecho
Caída del helicóptero de Carlos Menem Jr,Presunto choque con cables de alta tensión según la versión oficial. Murieron Menem Jr y el piloto Silvio Oltra.,MenemJr,-33.398,-60.033,1995-03-15
Carta del espía Aguilar Risi,Advertencia escrita al ministro Corach sobre un atentado en marcha contra Menem Jr vinculado a AMIA.,MenemJr,-34.603,-58.381,1995-02-10
Llamadas silenciosas al Mobicom,"Menem Jr recibía llamadas donde nadie hablaba, aumentando su sospecha de vigilancia.",MenemJr,-34.603,-58.381,1995-03-01
Reducción de la custodia,El jefe de seguridad ordenó disminuir el número de custodios justo el día del siniestro.,MenemJr,-34.6,-58.4,1995-03-15
Detención sospechosa de escoltas,Los autos de custodia se detuvieron 20 km antes por un supuesto cambio de llanta.,MenemJr,-33.9,-60.1,1995-03-15
Declaración de Lorenzo Siri,Aseguró haber visto tres explosiones y billetes esparcidos tras la caída.,MenemJr,-33.4,-60.03,1995-03-15
Muerte de Lorenzo Siri,"Atropellado por un Fiat 147 semanas después, cerca del sitio del accidente.",MenemJr,-33.401,-60.031,1995-04-18
Asesinato de Miguel Lukou,Perito que aseguró que no fue un accidente. Baleado frente a su casa.,MenemJr,-34.66,-58.48,1995-03-25
Muerte de Ángel Antacle,"Presunto asesino de Lukou, muerto a balazos dos días después.",MenemJr,-34.661,-58.47,1995-03-27
Muerte del perito Félix Bonacheira,Ayudante de Lukou; falleció en circunstancias sospechosas meses después.,MenemJr,-34.62,-58.46,1995-06-10
Asesinato de Héctor Vasino,Comisario que revisó el helicóptero. Murió en un falso intento de robo.,MenemJr,-34.6,-58.42,1997-06-10
Muerte de Hugo Sánchez Trota,Preso que decía tener información del dinero en el helicóptero. Abatido por policía.,MenemJr,-34.59,-58.43,1995-05-12
Muerte del hermano de Trota,Declaró vínculos con narcotráfico. Asesinado poco después.,MenemJr,-34.58,-58.42,1995-05-20
Muerte de Hugo Bocolino,Testigo camionero hallado muerto con un tiro en la cara; declarado suicidio.,MenemJr,-33.95,-60.6,1995-03-15
Amenazas a José Luis Manchini,Perito que vio perforaciones de bala en la aeronave; recibió amenazas.,MenemJr,-34.6,-58.5,1997-08-10
Asesinato del hermano de Manchini,Acribillado días después de las denuncias del perito.,MenemJr,-34.602,-58.503,1997-08-21
Muerte del médico Pedro Martínez,Primer profesional en asistir a Menem Jr; muerto por apuñalamiento.,MenemJr,-34.62,-58.45,1995-07-01
