titulo,descripcion,categoria,latitud,longitud,fecha
"Ráfagas fuertes en Trelew, Chubut: caída de ramas y carteles",Se reportan (en las últimas horas) ráfagas intensas en la salida hacia la ruta. Hay ramas caídas y reducción de visibilidad en algunos tramos. Evitar circular bajo árboles y estructuras inestables.,Vientos fuertes,-43.273252,-65.300133,6/3/2025
"Corte parcial por protesta en Santa Fe, Santa Fe","Vecinos informan (esta noche) una manifestación en la salida hacia la ruta. Hay cortes parciales/total de calzada y demoras. Se recomienda usar vías alternativas. Si tenés info actualizada, comentá para ayudar a otros.",Protesta,-31.659753,-60.696073,8/16/2024
"Atención: aumento de consultas respiratorias en Córdoba, Córdoba","Vecinos informan alta demanda en guardias en un área industrial. Se recomienda uso de barbijo en centros de salud si hay síntomas y ventilar ambientes. Si tenés info actualizada, comentá para ayudar a otros.",Salud,-31.447305,-64.167292,10/23/2024
"Corte de luz en Chilecito, La Rioja: cuadrillas revisan la red","Se registran interrupciones del servicio eléctrico en un área industrial. La empresa distribuidora indicó tareas de reparación. Se sugiere desconectar artefactos sensibles. Si tenés info actualizada, comentá para ayudar a otros.",Corte de energía,-29.186656,-67.495104,10/16/2025
"Demoras en transporte en Paraná, Entre Ríos",Usuarios informan demoras y cancelaciones en un barrio residencial. Se recomienda consultar estados oficiales y prever tiempos extra.,Transporte,-31.744415,-60.515597,11/17/2024
"Derrame de combustible en Goya, Corrientes: calzada resbaladiza","Se reporta (al mediodía) un derrame de combustible en inmediaciones de una escuela. Personal trabaja en la limpieza. Circular con extrema precaución y mantener distancia. Si tenés info actualizada, comentá para ayudar a otros.",Derrame,-29.164089,-59.274485,5/21/2025
"Altas temperaturas en Presidencia Roque Sáenz Peña, Chaco: alertan por golpe de calor","Se reportan (esta noche) temperaturas elevadas en un área industrial. Recomiendan hidratarse, evitar exposición al sol en horas pico y prestar atención a niños y adultos mayores. Protección Civil recomienda evitar actividad física al aire libre por la tarde.",Ola de calor,-26.805302,-60.448277,5/15/2025
"Demoras en transporte en Río Cuarto, Córdoba",Usuarios informan demoras y cancelaciones en un área industrial. Se recomienda consultar estados oficiales y prever tiempos extra.,Transporte,-33.132793,-64.358889,5/23/2025
"Corte de luz en Villa Carlos Paz, Córdoba: cuadrillas revisan la red","Se registran interrupciones del servicio eléctrico en inmediaciones de una escuela. La empresa distribuidora indicó tareas de reparación. Se sugiere desconectar artefactos sensibles. Si tenés info actualizada, comentá para ayudar a otros.",Corte de energía,-31.44936,-64.48571,10/24/2025
"Derrame de combustible en Quilmes, Buenos Aires: calzada resbaladiza","Se reporta un derrame de combustible en un puente/viaducto. Personal trabaja en la limpieza. Circular con extrema precaución y mantener distancia. Si tenés info actualizada, comentá para ayudar a otros.",Derrame,-34.744117,-58.275674,3/1/2024
"Choque en Resistencia, Chaco: tránsito reducido","Testigos informan un accidente de tránsito en la salida hacia la ruta. Se recomienda tomar desvíos y respetar indicaciones del personal en el lugar. Si tenés info actualizada, comentá para ayudar a otros.",Accidente vial,-27.476565,-58.989749,7/16/2025
